Product Name,Price (USD)
"Logitech M510 Wireless Mouse, Mouse for Laptop and PC with USB Unifying Receiver, Programmable Buttons - Graphite",25.98
"Logitech M185 Wireless Mouse, 2.4GHz with USB Mini Receiver, 12-Month Battery Life, 1000 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Swift Grey",14.49
"TUF Gaming Mini Wireless Mouse Hatsune Miku Edition- lightweight, ambidextrous 65g wireless gaming mouse with tri-mode connectivity, 12,000dpi sensor, and 100million-click lifespan mechanical switches",109.99
"TECKNET Wireless Mouse, 2.4G Ergonomic Optical Mouse, Computer Mouse for Laptop, PC, Computer, Chromebook, Notebook, 6 Buttons, 24 Months Battery Life, 2600 DPI, 5 Adjustment Levels",9.99
"Amazon Basics 2.4 Ghz Wireless Optical Computer Mouse with USB Nano Receiver, Black",11.39
"VssoPlor Wireless Mouse, 2.4G Slim Portable Computer Mice with Nano Receiver for Notebook, PC, Laptop, Computer (Black and Gold)",9.98
"TECKNET Wireless Mouse (BT5.0/3.0 & 2.4G) Rechargeable 4800 DPI Silent USB A & Bluetooth Mouse 6 Buttons, Wide Compatibility - Grey",12.98
"acer Wireless Mouse for Laptop, 2.4GHz Computer Mouse 3 Adjustable DPI Office Cordless USB Mice with USBA Receiver, 6 Buttons, 1600 DPI, Medium to Large Sized Hands Compatible with PC, Laptop, Desktop",9.99
"TECKNET Wireless Mouse for Laptop, 2.4G Quiet Computer Mouse with USB Receiver, 4 Buttons Portable Cordless Mice for Chromebook, Laptop, PC, Mac, 800/1200/1600 DPI - Mint Green",8.99
Razer Basilisk V3 X HyperSpeed Customizable Wireless Gaming Mouse: Mechanical Switches Gen-2-5G Advanced 18K Optical Sensor - Chroma RGB 9 Programmable Controls 535 Hr Battery Classic Black,45.78
"Wireless Bluetooth Mouse – Rechargeable, Silent, Dual Mode (Bluetooth 5.2 & USB) with LED Lights – Portable for Laptop, Desktop, & Tablet(Black)",6.98
"TECKNET Wireless Mouse, 2.4G USB Computer Mouse with 6-Level Adjustable 4800 DPI, Silent Quiet Click，30 Months Battery, Ergonomic Grips, 6 Buttons Portable for PC, Chromebook, Mac - Grey",8.98
"Logitech M196 Bluetooth Wireless Mouse, Compact and Portable Mouse for Laptops, Tablets and More, 12-Month Battery, Smooth Tracking, Compatible with PC and Mac, Windows and macOS - Rose",14.90
"Wireless Mouse Jiggler - LED Wireless Mice with Build-in Mouse Mover, Rechargeable Moving Mouse for Laptop with Undetectable Random Movement Keeps Computers Awake - Purple",N/A
"Wireless Bluetooth Mouse, Rechargeable, LED, Silent, Ultra-thin Design (Bluetooth 5.2 and 2.4GHz USB Receiver) | Portable Computer Mouse for Laptops, iPads, MacBooks and Apple Devices (Black)",5.99
"Uiosmuph LED Wireless Mouse, G12 Slim Rechargeable Silent Mouse, 2.4G Portable USB Optical Computer Mice with USB Receiver and Type C Adapter (Matte Black)",N/A
